icd10_code,description
T781XXS,"Other adverse food reactions, not elsewhere classified, sequela"
T782XXA,"Anaphylactic shock, unspecified, initial encounter"
T782XXD,"Anaphylactic shock, unspecified, subsequent encounter"
T782XXS,"Anaphylactic shock, unspecified, sequela"
T783XXA,"Angioneurotic edema, initial encounter"
T783XXD,"Angioneurotic edema, subsequent encounter"
T783XXS,"Angioneurotic edema, sequela"
T7840XA,"Allergy, unspecified, initial encounter"
T7840XD,"Allergy, unspecified, subsequent encounter"
T7840XS,"Allergy, unspecified, sequela"
T7841XA,"Arthus phenomenon, initial encounter"
T7841XD,"Arthus phenomenon, subsequent encounter"
T7841XS,"Arthus phenomenon, sequela"
T7849XA,"Other allergy, initial encounter"
T7849XD,"Other allergy, subsequent encounter"
T7849XS,"Other allergy, sequela"
T788XXA,"Other adverse effects, not elsewhere classified, initial encounter"
T788XXD,"Other adverse effects, not elsewhere classified, subsequent encounter"
T788XXS,"Other adverse effects, not elsewhere classified, sequela"
T790XXA,"Air embolism (traumatic), initial encounter"
T790XXD,"Air embolism (traumatic), subsequent encounter"
T790XXS,"Air embolism (traumatic), sequela"
T791XXA,"Fat embolism (traumatic), initial encounter"
T791XXD,"Fat embolism (traumatic), subsequent encounter"
T791XXS,"Fat embolism (traumatic), sequela"
T792XXA,"Traumatic secondary and recurrent hemorrhage and seroma, initial encounter"
T792XXD,"Traumatic secondary and recurrent hemorrhage and seroma, subsequent encounter"
T792XXS,"Traumatic secondary and recurrent hemorrhage and seroma, sequela"
T794XXA,"Traumatic shock, initial encounter"
T794XXD,"Traumatic shock, subsequent encounter"
T794XXS,"Traumatic shock, sequela"
T795XXA,"Traumatic anuria, initial encounter"
T795XXD,"Traumatic anuria, subsequent encounter"
T795XXS,"Traumatic anuria, sequela"
T796XXA,"Traumatic ischemia of muscle, initial encounter"
T796XXD,"Traumatic ischemia of muscle, subsequent encounter"
T796XXS,"Traumatic ischemia of muscle, sequela"
T797XXA,"Traumatic subcutaneous emphysema, initial encounter"
T797XXD,"Traumatic subcutaneous emphysema, subsequent encounter"
T797XXS,"Traumatic subcutaneous emphysema, sequela"
T798XXA,"Other early complications of trauma, initial encounter"
T798XXD,"Other early complications of trauma, subsequent encounter"
T798XXS,"Other early complications of trauma, sequela"
T799XXA,"Unspecified early complication of trauma, initial encounter"
T799XXD,"Unspecified early complication of trauma, subsequent encounter"
T799XXS,"Unspecified early complication of trauma, sequela"
T79A0XA,"Compartment syndrome, unspecified, initial encounter"
T79A0XD,"Compartment syndrome, unspecified, subsequent encounter"
T79A0XS,"Compartment syndrome, unspecified, sequela"
T79A11A,"Traumatic compartment syndrome of right upper extremity, initial encounter"
T79A11D,"Traumatic compartment syndrome of right upper extremity, subsequent encounter"
T79A11S,"Traumatic compartment syndrome of right upper extremity, sequela"
T79A12A,"Traumatic compartment syndrome of left upper extremity, initial encounter"
T79A12D,"Traumatic compartment syndrome of left upper extremity, subsequent encounter"
T79A12S,"Traumatic compartment syndrome of left upper extremity, sequela"
T79A19A,"Traumatic compartment syndrome of unspecified upper extremity, initial encounter"
T79A19D,"Traumatic compartment syndrome of unspecified upper extremity, subsequent encounter"
T79A19S,"Traumatic compartment syndrome of unspecified upper extremity, sequela"
T79A21A,"Traumatic compartment syndrome of right lower extremity, initial encounter"
T79A21D,"Traumatic compartment syndrome of right lower extremity, subsequent encounter"
T79A21S,"Traumatic compartment syndrome of right lower extremity, sequela"
T79A22A,"Traumatic compartment syndrome of left lower extremity, initial encounter"
T79A22D,"Traumatic compartment syndrome of left lower extremity, subsequent encounter"
T79A22S,"Traumatic compartment syndrome of left lower extremity, sequela"
T79A29A,"Traumatic compartment syndrome of unspecified lower extremity, initial encounter"
T79A29D,"Traumatic compartment syndrome of unspecified lower extremity, subsequent encounter"
T79A29S,"Traumatic compartment syndrome of unspecified lower extremity, sequela"
T79A3XA,"Traumatic compartment syndrome of abdomen, initial encounter"
T79A3XD,"Traumatic compartment syndrome of abdomen, subsequent encounter"
T79A3XS,"Traumatic compartment syndrome of abdomen, sequela"
T79A9XA,"Traumatic compartment syndrome of other sites, initial encounter"
T79A9XD,"Traumatic compartment syndrome of other sites, subsequent encounter"
T79A9XS,"Traumatic compartment syndrome of other sites, sequela"
T800XXA,"Air embolism following infusion, transfusion and therapeutic injection, initial encounter"
T800XXD,"Air embolism following infusion, transfusion and therapeutic injection, subsequent encounter"
T800XXS,"Air embolism following infusion, transfusion and therapeutic injection, sequela"
T801XXA,"Vascular complications following infusion, transfusion and therapeutic injection, initial encounter"
T801XXD,"Vascular complications following infusion, transfusion and therapeutic injection, subsequent encounter"
T801XXS,"Vascular complications following infusion, transfusion and therapeutic injection, sequela"
T80211A,"Bloodstream infection due to central venous catheter, initial encounter"
T80211D,"Bloodstream infection due to central venous catheter, subsequent encounter"
T80211S,"Bloodstream infection due to central venous catheter, sequela"
T80212A,"Local infection due to central venous catheter, initial encounter"
T80212D,"Local infection due to central venous catheter, subsequent encounter"
T80212S,"Local infection due to central venous catheter, sequela"
T80218A,"Other infection due to central venous catheter, initial encounter"
T80218D,"Other infection due to central venous catheter, subsequent encounter"
T80218S,"Other infection due to central venous catheter, sequela"
T80219A,"Unspecified infection due to central venous catheter, initial encounter"
T80219D,"Unspecified infection due to central venous catheter, subsequent encounter"
T80219S,"Unspecified infection due to central venous catheter, sequela"
T8022XA,"Acute infection following transfusion, infusion, or injection of blood and blood products, initial encounter"
T8022XD,"Acute infection following transfusion, infusion, or injection of blood and blood products, subsequent encounter"
T8022XS,"Acute infection following transfusion, infusion, or injection of blood and blood products, sequela"
T8029XA,"Infection following other infusion, transfusion and therapeutic injection, initial encounter"
T8029XD,"Infection following other infusion, transfusion and therapeutic injection, subsequent encounter"
T8029XS,"Infection following other infusion, transfusion and therapeutic injection, sequela"
T8030XA,"ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, initial encounter"
T8030XD,"ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, subsequent encounter"
T8030XS,"ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, sequela"
T80310A,"ABO incompatibility with acute hemolytic transfusion reaction, initial encounter"
T80310D,"ABO incompatibility with acute hemolytic transfusion reaction, subsequent encounter"
T80310S,"ABO incompatibility with acute hemolytic transfusion reaction, sequela"
T80311A,"ABO incompatibility with delayed hemolytic transfusion reaction, initial encounter"
T80311D,"ABO incompatibility with delayed hemolytic transfusion reaction, subsequent encounter"
T80311S,"ABO incompatibility with delayed hemolytic transfusion reaction, sequela"
T80319A,"ABO incompatibility with hemolytic transfusion reaction, unspecified, initial encounter"
T80319D,"ABO incompatibility with hemolytic transfusion reaction, unspecified, subsequent encounter"
T80319S,"ABO incompatibility with hemolytic transfusion reaction, unspecified, sequela"
T8039XA,"Other ABO incompatibility reaction due to transfusion of blood or blood products, initial encounter"
T8039XD,"Other ABO incompatibility reaction due to transfusion of blood or blood products, subsequent encounter"
T8039XS,"Other ABO incompatibility reaction due to transfusion of blood or blood products, sequela"
T8040XA,"Rh incompatibility reaction due to transfusion of blood or blood products, unspecified, initial encounter"
T8040XD,"Rh incompatibility reaction due to transfusion of blood or blood products, unspecified, subsequent encounter"
T8040XS,"Rh incompatibility reaction due to transfusion of blood or blood products, unspecified, sequela"
T80410A,"Rh incompatibility with acute hemolytic transfusion reaction, initial encounter"
T80410D,"Rh incompatibility with acute hemolytic transfusion reaction, subsequent encounter"
T80410S,"Rh incompatibility with acute hemolytic transfusion reaction, sequela"
T80411A,"Rh incompatibility with delayed hemolytic transfusion reaction, initial encounter"
T80411D,"Rh incompatibility with delayed hemolytic transfusion reaction, subsequent encounter"
T80411S,"Rh incompatibility with delayed hemolytic transfusion reaction, sequela"
T80419A,"Rh incompatibility with hemolytic transfusion reaction, unspecified, initial encounter"
T80419D,"Rh incompatibility with hemolytic transfusion reaction, unspecified, subsequent encounter"
T80419S,"Rh incompatibility with hemolytic transfusion reaction, unspecified, sequela"
T8049XA,"Other Rh incompatibility reaction due to transfusion of blood or blood products, initial encounter"
T8049XD,"Other Rh incompatibility reaction due to transfusion of blood or blood products, subsequent encounter"
T8049XS,"Other Rh incompatibility reaction due to transfusion of blood or blood products, sequela"
T8051XA,"Anaphylactic reaction due to administration of blood and blood products, initial encounter"
T8051XD,"Anaphylactic reaction due to administration of blood and blood products, subsequent encounter"
T8051XS,"Anaphylactic reaction due to administration of blood and blood products, sequela"
T8052XA,"Anaphylactic reaction due to vaccination, initial encounter"
T8052XD,"Anaphylactic reaction due to vaccination, subsequent encounter"
T8052XS,"Anaphylactic reaction due to vaccination, sequela"
T8059XA,"Anaphylactic reaction due to other serum, initial encounter"
T8059XD,"Anaphylactic reaction due to other serum, subsequent encounter"
T8059XS,"Anaphylactic reaction due to other serum, sequela"
T8061XA,"Other serum reaction due to administration of blood and blood products, initial encounter"
T8061XD,"Other serum reaction due to administration of blood and blood products, subsequent encounter"
T8061XS,"Other serum reaction due to administration of blood and blood products, sequela"
T8062XA,"Other serum reaction due to vaccination, initial encounter"
T8062XD,"Other serum reaction due to vaccination, subsequent encounter"
T8062XS,"Other serum reaction due to vaccination, sequela"
T8069XA,"Other serum reaction due to other serum, initial encounter"
T8069XD,"Other serum reaction due to other serum, subsequent encounter"
T8069XS,"Other serum reaction due to other serum, sequela"
T80810A,"Extravasation of vesicant antineoplastic chemotherapy, initial encounter"
T80810D,"Extravasation of vesicant antineoplastic chemotherapy, subsequent encounter"
T80810S,"Extravasation of vesicant antineoplastic chemotherapy, sequela"
T80818A,"Extravasation of other vesicant agent, initial encounter"
T80818D,"Extravasation of other vesicant agent, subsequent encounter"
T80818S,"Extravasation of other vesicant agent, sequela"
T8082XA,"Complication of immune effector cellular therapy, initial encounter"
T8082XD,"Complication of immune effector cellular therapy, subsequent encounter"
T8082XS,"Complication of immune effector cellular therapy, sequela"
T8089XA,"Other complications following infusion, transfusion and therapeutic injection, initial encounter"
T8089XD,"Other complications following infusion, transfusion and therapeutic injection, subsequent encounter"
T8089XS,"Other complications following infusion, transfusion and therapeutic injection, sequela"
T8090XA,"Unspecified complication following infusion and therapeutic injection, initial encounter"
T8090XD,"Unspecified complication following infusion and therapeutic injection, subsequent encounter"
T8090XS,"Unspecified complication following infusion and therapeutic injection, sequela"
T80910A,"Acute hemolytic transfusion reaction, unspecified incompatibility, initial encounter"
T80910D,"Acute hemolytic transfusion reaction, unspecified incompatibility, subsequent encounter"
T80910S,"Acute hemolytic transfusion reaction, unspecified incompatibility, sequela"
T80911A,"Delayed hemolytic transfusion reaction, unspecified incompatibility, initial encounter"
T80911D,"Delayed hemolytic transfusion reaction, unspecified incompatibility, subsequent encounter"
T80911S,"Delayed hemolytic transfusion reaction, unspecified incompatibility, sequela"
T80919A,"Hemolytic transfusion reaction, unspecified incompatibility, unspecified as acute or delayed, initial encounter"
T80919D,"Hemolytic transfusion reaction, unspecified incompatibility, unspecified as acute or delayed, subsequent encounter"
T80919S,"Hemolytic transfusion reaction, unspecified incompatibility, unspecified as acute or delayed, sequela"
T8092XA,"Unspecified transfusion reaction, initial encounter"
T8092XD,"Unspecified transfusion reaction, subsequent encounter"
T8092XS,"Unspecified transfusion reaction, sequela"
T80A0XA,"Non-ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, initial encounter"
T80A0XD,"Non-ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, subsequent encounter"
T80A0XS,"Non-ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, sequela"
T80A10A,"Non-ABO incompatibility with acute hemolytic transfusion reaction, initial encounter"
T80A10D,"Non-ABO incompatibility with acute hemolytic transfusion reaction, subsequent encounter"
T80A10S,"Non-ABO incompatibility with acute hemolytic transfusion reaction, sequela"
T80A11A,"Non-ABO incompatibility with delayed hemolytic transfusion reaction, initial encounter"
T80A11D,"Non-ABO incompatibility with delayed hemolytic transfusion reaction, subsequent encounter"
T80A11S,"Non-ABO incompatibility with delayed hemolytic transfusion reaction, sequela"
T80A19A,"Non-ABO incompatibility with hemolytic transfusion reaction, unspecified, initial encounter"
T80A19D,"Non-ABO incompatibility with hemolytic transfusion reaction, unspecified, subsequent encounter"
T80A19S,"Non-ABO incompatibility with hemolytic transfusion reaction, unspecified, sequela"
T80A9XA,"Other non-ABO incompatibility reaction due to transfusion of blood or blood products, initial encounter"
T80A9XD,"Other non-ABO incompatibility reaction due to transfusion of blood or blood products, subsequent encounter"
T80A9XS,"Other non-ABO incompatibility reaction due to transfusion of blood or blood products, sequela"
T8110XA,"Postprocedural shock unspecified, initial encounter"
T8110XD,"Postprocedural shock unspecified, subsequent encounter"
T8110XS,"Postprocedural shock unspecified, sequela"
T8111XA,"Postprocedural cardiogenic shock, initial encounter"
T8111XD,"Postprocedural cardiogenic shock, subsequent encounter"
T8111XS,"Postprocedural cardiogenic shock, sequela"
T8112XA,"Postprocedural septic shock, initial encounter"
T8112XD,"Postprocedural septic shock, subsequent encounter"
T8112XS,"Postprocedural septic shock, sequela"
T8119XA,"Other postprocedural shock, initial encounter"
T8119XD,"Other postprocedural shock, subsequent encounter"
T8119XS,"Other postprocedural shock, sequela"
T8130XA,"Disruption of wound, unspecified, initial encounter"
T8130XD,"Disruption of wound, unspecified, subsequent encounter"
T8130XS,"Disruption of wound, unspecified, sequela"
T8131XA,"Disruption of external operation (surgical) wound, not elsewhere classified, initial encounter"
T8131XD,"Disruption of external operation (surgical) wound, not elsewhere classified, subsequent encounter"
T8131XS,"Disruption of external operation (surgical) wound, not elsewhere classified, sequela"
T81320A,"Disruption or dehiscence of gastrointestinal tract anastomosis, repair, or closure, initial encounter"
T81320D,"Disruption or dehiscence of gastrointestinal tract anastomosis, repair, or closure, subsequent encounter"
T81320S,"Disruption or dehiscence of gastrointestinal tract anastomosis, repair, or closure, sequela"
T81321A,"Disruption or dehiscence of closure of internal operation (surgical) wound of abdominal wall muscle or fascia, initial encounter"
T81321D,"Disruption or dehiscence of closure of internal operation (surgical) wound of abdominal wall muscle or fascia, subsequent encounter"
T81321S,"Disruption or dehiscence of closure of internal operation (surgical) wound of abdominal wall muscle or fascia, sequela"
T81328A,"Disruption or dehiscence of closure of other specified internal operation (surgical) wound, initial encounter"
T81328D,"Disruption or dehiscence of closure of other specified internal operation (surgical) wound, subsequent encounter"
T81328S,"Disruption or dehiscence of closure of other specified internal operation (surgical) wound, sequela"
T81329A,"Deep disruption or dehiscence of operation wound, unspecified, initial encounter"
T81329D,"Deep disruption or dehiscence of operation wound, unspecified, subsequent encounter"
T81329S,"Deep disruption or dehiscence of operation wound, unspecified, sequela"
T8132XA,"Disruption of internal operation (surgical) wound, not elsewhere classified, initial encounter"
T8132XD,"Disruption of internal operation (surgical) wound, not elsewhere classified, subsequent encounter"
T8132XS,"Disruption of internal operation (surgical) wound, not elsewhere classified, sequela"
T8133XA,"Disruption of traumatic injury wound repair, initial encounter"
T8133XD,"Disruption of traumatic injury wound repair, subsequent encounter"
T8133XS,"Disruption of traumatic injury wound repair, sequela"
T8140XA,"Infection following a procedure, unspecified, initial encounter"
T8140XD,"Infection following a procedure, unspecified, subsequent encounter"
T8140XS,"Infection following a procedure, unspecified, sequela"
T8141XA,"Infection following a procedure, superficial incisional surgical site, initial encounter"
T8141XD,"Infection following a procedure, superficial incisional surgical site, subsequent encounter"
T8141XS,"Infection following a procedure, superficial incisional surgical site, sequela"
T8142XA,"Infection following a procedure, deep incisional surgical site, initial encounter"
T8142XD,"Infection following a procedure, deep incisional surgical site, subsequent encounter"
T8142XS,"Infection following a procedure, deep incisional surgical site, sequela"
T8143XA,"Infection following a procedure, organ and space surgical site, initial encounter"
T8143XD,"Infection following a procedure, organ and space surgical site, subsequent encounter"
T8143XS,"Infection following a procedure, organ and space surgical site, sequela"
T8144XA,"Sepsis following a procedure, initial encounter"
T8144XD,"Sepsis following a procedure, subsequent encounter"
T8144XS,"Sepsis following a procedure, sequela"
T8149XA,"Infection following a procedure, other surgical site, initial encounter"
T8149XD,"Infection following a procedure, other surgical site, subsequent encounter"
T8149XS,"Infection following a procedure, other surgical site, sequela"
T814XXA,"Infection following a procedure, initial encounter"
T814XXD,"Infection following a procedure, subsequent encounter"
T814XXS,"Infection following a procedure, sequela"
T81500A,"Unspecified complication of foreign body accidentally left in body following surgical operation, initial encounter"
T81500D,"Unspecified complication of foreign body accidentally left in body following surgical operation, subsequent encounter"
T81500S,"Unspecified complication of foreign body accidentally left in body following surgical operation, sequela"
T81501A,"Unspecified complication of foreign body accidentally left in body following infusion or transfusion, initial encounter"
T81501D,"Unspecified complication of foreign body accidentally left in body following infusion or transfusion, subsequent encounter"
T81501S,"Unspecified complication of foreign body accidentally left in body following infusion or transfusion, sequela"
T81502A,"Unspecified complication of foreign body accidentally left in body following kidney dialysis, initial encounter"
T81502D,"Unspecified complication of foreign body accidentally left in body following kidney dialysis, subsequent encounter"
T81502S,"Unspecified complication of foreign body accidentally left in body following kidney dialysis, sequela"
T81503A,"Unspecified complication of foreign body accidentally left in body following injection or immunization, initial encounter"
T81503D,"Unspecified complication of foreign body accidentally left in body following injection or immunization, subsequent encounter"
T81503S,"Unspecified complication of foreign body accidentally left in body following injection or immunization, sequela"
T81504A,"Unspecified complication of foreign body accidentally left in body following endoscopic examination, initial encounter"
T81504D,"Unspecified complication of foreign body accidentally left in body following endoscopic examination, subsequent encounter"
T81504S,"Unspecified complication of foreign body accidentally left in body following endoscopic examination, sequela"
T81505A,"Unspecified complication of foreign body accidentally left in body following heart catheterization, initial encounter"
T81505D,"Unspecified complication of foreign body accidentally left in body following heart catheterization, subsequent encounter"
T81505S,"Unspecified complication of foreign body accidentally left in body following heart catheterization, sequela"
T81506A,"Unspecified complication of foreign body accidentally left in body following aspiration, puncture or other catheterization, initial encounter"
T81506D,"Unspecified complication of foreign body accidentally left in body following aspiration, puncture or other catheterization, subsequent encounter"
T81506S,"Unspecified complication of foreign body accidentally left in body following aspiration, puncture or other catheterization, sequela"
T81507A,"Unspecified complication of foreign body accidentally left in body following removal of catheter or packing, initial encounter"
T81507D,"Unspecified complication of foreign body accidentally left in body following removal of catheter or packing, subsequent encounter"
T81507S,"Unspecified complication of foreign body accidentally left in body following removal of catheter or packing, sequela"
T81508A,"Unspecified complication of foreign body accidentally left in body following other procedure, initial encounter"
T81508D,"Unspecified complication of foreign body accidentally left in body following other procedure, subsequent encounter"
T81508S,"Unspecified complication of foreign body accidentally left in body following other procedure, sequela"
T81509A,"Unspecified complication of foreign body accidentally left in body following unspecified procedure, initial encounter"
T81509D,"Unspecified complication of foreign body accidentally left in body following unspecified procedure, subsequent encounter"
T81509S,"Unspecified complication of foreign body accidentally left in body following unspecified procedure, sequela"
T81510A,"Adhesions due to foreign body accidentally left in body following surgical operation, initial encounter"
T81510D,"Adhesions due to foreign body accidentally left in body following surgical operation, subsequent encounter"
T81510S,"Adhesions due to foreign body accidentally left in body following surgical operation, sequela"
T81511A,"Adhesions due to foreign body accidentally left in body following infusion or transfusion, initial encounter"
T81511D,"Adhesions due to foreign body accidentally left in body following infusion or transfusion, subsequent encounter"
T81511S,"Adhesions due to foreign body accidentally left in body following infusion or transfusion, sequela"
T81512A,"Adhesions due to foreign body accidentally left in body following kidney dialysis, initial encounter"
T81512D,"Adhesions due to foreign body accidentally left in body following kidney dialysis, subsequent encounter"
T81512S,"Adhesions due to foreign body accidentally left in body following kidney dialysis, sequela"
T81513A,"Adhesions due to foreign body accidentally left in body following injection or immunization, initial encounter"
T81513D,"Adhesions due to foreign body accidentally left in body following injection or immunization, subsequent encounter"
T81513S,"Adhesions due to foreign body accidentally left in body following injection or immunization, sequela"
T81514A,"Adhesions due to foreign body accidentally left in body following endoscopic examination, initial encounter"
T81514D,"Adhesions due to foreign body accidentally left in body following endoscopic examination, subsequent encounter"
T81514S,"Adhesions due to foreign body accidentally left in body following endoscopic examination, sequela"
T81515A,"Adhesions due to foreign body accidentally left in body following heart catheterization, initial encounter"
T81515D,"Adhesions due to foreign body accidentally left in body following heart catheterization, subsequent encounter"
T81515S,"Adhesions due to foreign body accidentally left in body following heart catheterization, sequela"
T81516A,"Adhesions due to foreign body accidentally left in body following aspiration, puncture or other catheterization, initial encounter"
T81516D,"Adhesions due to foreign body accidentally left in body following aspiration, puncture or other catheterization, subsequent encounter"
T81516S,"Adhesions due to foreign body accidentally left in body following aspiration, puncture or other catheterization, sequela"
T81517A,"Adhesions due to foreign body accidentally left in body following removal of catheter or packing, initial encounter"
T81517D,"Adhesions due to foreign body accidentally left in body following removal of catheter or packing, subsequent encounter"
T81517S,"Adhesions due to foreign body accidentally left in body following removal of catheter or packing, sequela"
T81518A,"Adhesions due to foreign body accidentally left in body following other procedure, initial encounter"
T81518D,"Adhesions due to foreign body accidentally left in body following other procedure, subsequent encounter"
T81518S,"Adhesions due to foreign body accidentally left in body following other procedure, sequela"
T81519A,"Adhesions due to foreign body accidentally left in body following unspecified procedure, initial encounter"
T81519D,"Adhesions due to foreign body accidentally left in body following unspecified procedure, subsequent encounter"
T81519S,"Adhesions due to foreign body accidentally left in body following unspecified procedure, sequela"
T81520A,"Obstruction due to foreign body accidentally left in body following surgical operation, initial encounter"
T81520D,"Obstruction due to foreign body accidentally left in body following surgical operation, subsequent encounter"
T81520S,"Obstruction due to foreign body accidentally left in body following surgical operation, sequela"
T81521A,"Obstruction due to foreign body accidentally left in body following infusion or transfusion, initial encounter"
T81521D,"Obstruction due to foreign body accidentally left in body following infusion or transfusion, subsequent encounter"
T81521S,"Obstruction due to foreign body accidentally left in body following infusion or transfusion, sequela"
T81522A,"Obstruction due to foreign body accidentally left in body following kidney dialysis, initial encounter"
T81522D,"Obstruction due to foreign body accidentally left in body following kidney dialysis, subsequent encounter"
T81522S,"Obstruction due to foreign body accidentally left in body following kidney dialysis, sequela"
T81523A,"Obstruction due to foreign body accidentally left in body following injection or immunization, initial encounter"
T81523D,"Obstruction due to foreign body accidentally left in body following injection or immunization, subsequent encounter"
T81523S,"Obstruction due to foreign body accidentally left in body following injection or immunization, sequela"
T81524A,"Obstruction due to foreign body accidentally left in body following endoscopic examination, initial encounter"
T81524D,"Obstruction due to foreign body accidentally left in body following endoscopic examination, subsequent encounter"
T81524S,"Obstruction due to foreign body accidentally left in body following endoscopic examination, sequela"
T81525A,"Obstruction due to foreign body accidentally left in body following heart catheterization, initial encounter"
T81525D,"Obstruction due to foreign body accidentally left in body following heart catheterization, subsequent encounter"
T81525S,"Obstruction due to foreign body accidentally left in body following heart catheterization, sequela"
T81526A,"Obstruction due to foreign body accidentally left in body following aspiration, puncture or other catheterization, initial encounter"
T81526D,"Obstruction due to foreign body accidentally left in body following aspiration, puncture or other catheterization, subsequent encounter"
T81526S,"Obstruction due to foreign body accidentally left in body following aspiration, puncture or other catheterization, sequela"
T81527A,"Obstruction due to foreign body accidentally left in body following removal of catheter or packing, initial encounter"
T81527D,"Obstruction due to foreign body accidentally left in body following removal of catheter or packing, subsequent encounter"
T81527S,"Obstruction due to foreign body accidentally left in body following removal of catheter or packing, sequela"
T81528A,"Obstruction due to foreign body accidentally left in body following other procedure, initial encounter"
T81528D,"Obstruction due to foreign body accidentally left in body following other procedure, subsequent encounter"
T81528S,"Obstruction due to foreign body accidentally left in body following other procedure, sequela"
T81529A,"Obstruction due to foreign body accidentally left in body following unspecified procedure, initial encounter"
T81529D,"Obstruction due to foreign body accidentally left in body following unspecified procedure, subsequent encounter"
T81529S,"Obstruction due to foreign body accidentally left in body following unspecified procedure, sequela"
T81530A,"Perforation due to foreign body accidentally left in body following surgical operation, initial encounter"
T81530D,"Perforation due to foreign body accidentally left in body following surgical operation, subsequent encounter"
T81530S,"Perforation due to foreign body accidentally left in body following surgical operation, sequela"
T81531A,"Perforation due to foreign body accidentally left in body following infusion or transfusion, initial encounter"
T81531D,"Perforation due to foreign body accidentally left in body following infusion or transfusion, subsequent encounter"
T81531S,"Perforation due to foreign body accidentally left in body following infusion or transfusion, sequela"
T81532A,"Perforation due to foreign body accidentally left in body following kidney dialysis, initial encounter"
T81532D,"Perforation due to foreign body accidentally left in body following kidney dialysis, subsequent encounter"
T81532S,"Perforation due to foreign body accidentally left in body following kidney dialysis, sequela"
T81533A,"Perforation due to foreign body accidentally left in body following injection or immunization, initial encounter"
T81533D,"Perforation due to foreign body accidentally left in body following injection or immunization, subsequent encounter"
T81533S,"Perforation due to foreign body accidentally left in body following injection or immunization, sequela"
T81534A,"Perforation due to foreign body accidentally left in body following endoscopic examination, initial encounter"
T81534D,"Perforation due to foreign body accidentally left in body following endoscopic examination, subsequent encounter"
T81534S,"Perforation due to foreign body accidentally left in body following endoscopic examination, sequela"
T81535A,"Perforation due to foreign body accidentally left in body following heart catheterization, initial encounter"
T81535D,"Perforation due to foreign body accidentally left in body following heart catheterization, subsequent encounter"
T81535S,"Perforation due to foreign body accidentally left in body following heart catheterization, sequela"
T81536A,"Perforation due to foreign body accidentally left in body following aspiration, puncture or other catheterization, initial encounter"
T81536D,"Perforation due to foreign body accidentally left in body following aspiration, puncture or other catheterization, subsequent encounter"
T81536S,"Perforation due to foreign body accidentally left in body following aspiration, puncture or other catheterization, sequela"
T81537A,"Perforation due to foreign body accidentally left in body following removal of catheter or packing, initial encounter"
T81537D,"Perforation due to foreign body accidentally left in body following removal of catheter or packing, subsequent encounter"
T81537S,"Perforation due to foreign body accidentally left in body following removal of catheter or packing, sequela"
T81538A,"Perforation due to foreign body accidentally left in body following other procedure, initial encounter"
T81538D,"Perforation due to foreign body accidentally left in body following other procedure, subsequent encounter"
T81538S,"Perforation due to foreign body accidentally left in body following other procedure, sequela"
T81539A,"Perforation due to foreign body accidentally left in body following unspecified procedure, initial encounter"
T81539D,"Perforation due to foreign body accidentally left in body following unspecified procedure, subsequent encounter"
T81539S,"Perforation due to foreign body accidentally left in body following unspecified procedure, sequela"
T81590A,"Other complications of foreign body accidentally left in body following surgical operation, initial encounter"
T81590D,"Other complications of foreign body accidentally left in body following surgical operation, subsequent encounter"
T81590S,"Other complications of foreign body accidentally left in body following surgical operation, sequela"
T81591A,"Other complications of foreign body accidentally left in body following infusion or transfusion, initial encounter"
T81591D,"Other complications of foreign body accidentally left in body following infusion or transfusion, subsequent encounter"
T81591S,"Other complications of foreign body accidentally left in body following infusion or transfusion, sequela"
T81592A,"Other complications of foreign body accidentally left in body following kidney dialysis, initial encounter"
T81592D,"Other complications of foreign body accidentally left in body following kidney dialysis, subsequent encounter"
T81592S,"Other complications of foreign body accidentally left in body following kidney dialysis, sequela"
T81593A,"Other complications of foreign body accidentally left in body following injection or immunization, initial encounter"
T81593D,"Other complications of foreign body accidentally left in body following injection or immunization, subsequent encounter"
T81593S,"Other complications of foreign body accidentally left in body following injection or immunization, sequela"
T81594A,"Other complications of foreign body accidentally left in body following endoscopic examination, initial encounter"
T81594D,"Other complications of foreign body accidentally left in body following endoscopic examination, subsequent encounter"
T81594S,"Other complications of foreign body accidentally left in body following endoscopic examination, sequela"
T81595A,"Other complications of foreign body accidentally left in body following heart catheterization, initial encounter"
T81595D,"Other complications of foreign body accidentally left in body following heart catheterization, subsequent encounter"
T81595S,"Other complications of foreign body accidentally left in body following heart catheterization, sequela"
T81596A,"Other complications of foreign body accidentally left in body following aspiration, puncture or other catheterization, initial encounter"
T81596D,"Other complications of foreign body accidentally left in body following aspiration, puncture or other catheterization, subsequent encounter"
T81596S,"Other complications of foreign body accidentally left in body following aspiration, puncture or other catheterization, sequela"
T81597A,"Other complications of foreign body accidentally left in body following removal of catheter or packing, initial encounter"
T81597D,"Other complications of foreign body accidentally left in body following removal of catheter or packing, subsequent encounter"
T81597S,"Other complications of foreign body accidentally left in body following removal of catheter or packing, sequela"
T81598A,"Other complications of foreign body accidentally left in body following other procedure, initial encounter"
T81598D,"Other complications of foreign body accidentally left in body following other procedure, subsequent encounter"
